mfcc1_sma3Mean,mfcc2_sma3Mean,mfcc3_sma3Mean,mfcc4_sma3Mean,F0semitoneFrom27_5Hz_sma3nzMean,F1frequency_sma3nzMean,turnText,speaker,startTime,endTime,duration,mp3url,turnCount,inferredSpeakerRole,inferredSpeakerName,predictedClassIndex,binaryAction,multiAction,multiActionLLM
25.9643398367,-1.0737515162,17.0626559289,-5.1869912839,11.5924649795,683.0245212564," (upbeat music) This is part two of the COVID-19 Improv Summit on the Globalization of Improv. It follows a conversation in part one, interestingly enough, where we had a panelists from all over the world talking about the impact of globalization and their perspective on it in the world of improv. And this continues that conversation. There is not really a separate topic, but there are a number of additional thoughts and we do get into some new territory that I think was very valuable and impactful. So I encourage you to listen in all the way through and get those insights along the way. So let's get right into part two. (upbeat music) So we're back on this episode and we're just gonna continue the conversation that we had and we're gonna start with Helena.",SPEAKER_08,0.0,57.36,57.36,https://anchor.fm/s/debdff4/podcast/play/13465947/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fproduction%2F2020-4-8%2F71293346-48000-2-f839edbfc229e.mp3,1,NO_INFERRED_ROLE,NO_INFERRED_SPEAKER,,,,
26.7540731099,-1.7829706155,4.2967778164,-7.3583942484,27.2514269623,717.7465434023," - Yes, I wanted to add a perspective of COVID virus situation and also online improv because earlier I couldn't mention it because I forgot. So Korea also had the early stages with China. So we started COVID in January and nowadays it's been four months, five months and it's getting better and better. So I think this is a hope for worldwide people because these days for 10 days, we have less than 10 COVID virus patients right now. So we starting slowly, we are getting back to the normal life, not fully, but slowly we started to work outside and we go for work and small group gathering. So we started to offline meeting less than 10 people right now. It's only just since the last week because three, two, three weeks ago we had an election and so many people voted and experts predicted after voting date after two weeks there will be juicy coronavirus patients again. But it turns out we have no one from the election situation. We have no zero one. So it's very good news for everybody, I think. So you guys were maybe come back for the normal life. I hope everyone worldwide. And also during the four months, we really needed the gathering paper and we wanted to talk. So we started online as everyone did. So my feeling, my thoughts about online improv is totally different genre I feel. So it's improv, of course, but very different. For example, when we were on stage, we cannot do the finger one, finger or face one or we cannot do the zoom background, the white horizons or Mars and artisans. So we also created new forms with online only. So it's also new invention or new discovery for us. So I think this is a good point of view in this situation. - Helena, did you",SPEAKER_06,57.36,253.64,196.28,https://anchor.fm/s/debdff4/podcast/play/13465947/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fproduction%2F2020-4-8%2F71293346-48000-2-f839edbfc229e.mp3,2,NO_INFERRED_ROLE,NO_INFERRED_SPEAKER,,,,
5.0566813353,2.317671606,2.7690609856,5.6011744806,0.0,338.5106281944, meet,"SPEAKER_06, SPEAKER_08",253.64,255.09,1.45,https://anchor.fm/s/debdff4/podcast/play/13465947/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fproduction%2F2020-4-8%2F71293346-48000-2-f839edbfc229e.mp3,3,NO_INFERRED_ROLE,NO_INFERRED_SPEAKER,,,,
31.4707773333,-22.237383,9.787726,-10.0055936,29.1711553333,870.5730733333, with,SPEAKER_08,255.09,255.14,0.05,https://anchor.fm/s/debdff4/podcast/play/13465947/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fproduction%2F2020-4-8%2F71293346-48000-2-f839edbfc229e.mp3,4,NO_INFERRED_ROLE,NO_INFERRED_SPEAKER,,,,
19.622717398,4.5256149269,23.9864881804,0.7959766392,12.6524320784,714.0277180392, your,"SPEAKER_08, SPEAKER_06",255.14,256.17,1.03,https://anchor.fm/s/debdff4/podcast/play/13465947/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fproduction%2F2020-4-8%2F71293346-48000-2-f839edbfc229e.mp3,5,NO_INFERRED_ROLE,NO_INFERRED_SPEAKER,,,,
25.3141843383,2.8645005313,31.3982123157,-1.3161470743,21.3900387829,706.2259497754, improv team in person yet? - We met,SPEAKER_08,256.17,260.9,4.73,https://anchor.fm/s/debdff4/podcast/play/13465947/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fproduction%2F2020-4-8%2F71293346-48000-2-f839edbfc229e.mp3,6,NO_INFERRED_ROLE,NO_INFERRED_SPEAKER,,,,
6.1797550063,-1.9772599,8.0009176429,-0.6150063516,9.1999491746,452.2071280952, last,"SPEAKER_08, SPEAKER_06",260.9,262.16,1.26,https://anchor.fm/s/debdff4/podcast/play/13465947/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fproduction%2F2020-4-8%2F71293346-48000-2-f839edbfc229e.mp3,7,NO_INFERRED_ROLE,NO_INFERRED_SPEAKER,,,,
22.9122580361,-8.99369908,3.893864106,-9.0413979069,31.1188710941,752.6625987169," week, it's been worldwide and last week was the first step was did we wear masks and we use that laser, we check our temperature and we try to distance at least one meter, but it was hard.",SPEAKER_06,262.16,284.84,22.68,https://anchor.fm/s/debdff4/podcast/play/13465947/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fproduction%2F2020-4-8%2F71293346-48000-2-f839edbfc229e.mp3,8,NO_INFERRED_ROLE,NO_INFERRED_SPEAKER,,,,
15.7137410818,-3.6812942662,12.4463251707,9.3354102676,6.2206351363,473.6844348495, Yeah. -,"SPEAKER_06, SPEAKER_08",284.84,286.41,1.57,https://anchor.fm/s/debdff4/podcast/play/13465947/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fproduction%2F2020-4-8%2F71293346-48000-2-f839edbfc229e.mp3,9,NO_INFERRED_ROLE,NO_INFERRED_SPEAKER,,,,
24.3569801741,-2.914715694,23.3962184086,-1.5796148605,12.7952249232,667.2043397654," Yeah, I would think that would be an interesting way to come back. So well, thank you for sharing that. Felipe, let's hear from you again.",SPEAKER_08,286.41,299.88,13.47,https://anchor.fm/s/debdff4/podcast/play/13465947/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fproduction%2F2020-4-8%2F71293346-48000-2-f839edbfc229e.mp3,10,NO_INFERRED_ROLE,NO_INFERRED_SPEAKER,,,,
