mfcc1_sma3Mean,mfcc2_sma3Mean,mfcc3_sma3Mean,mfcc4_sma3Mean,F0semitoneFrom27_5Hz_sma3nzMean,F1frequency_sma3nzMean,turnText,speaker,startTime,endTime,duration,mp3url,turnCount,inferredSpeakerRole,inferredSpeakerName,predictedClassIndex
29.4433229713,2.1910560786,-0.5157870585,-1.0804794716,15.7340924659,683.0531006206, [Music] [Music] The idea,SPEAKER_02,0.0,41.0,41.0,https://chtbl.com/track/G42DE4/https://dts.podtrac.com/redirect.mp3/cdn.simplecast.com/audio/dbd31d/dbd31d40-e597-46ab-ae8c-305c440d194c/a00d834b-09fb-4e0e-9536-558132236fed/nm-119-michael-decon_tc.mp3?aid=rss_feed&feed=fzkTzFY_,1,NO_INFERRED_ROLE,NO_INFERRED_SPEAKER,
22.0941632667,2.524927824,-0.9935548467,-9.5931846667,3.0922110667,726.2543533333, for,"SPEAKER_02, SPEAKER_01",41.0,41.3,0.3,https://chtbl.com/track/G42DE4/https://dts.podtrac.com/redirect.mp3/cdn.simplecast.com/audio/dbd31d/dbd31d40-e597-46ab-ae8c-305c440d194c/a00d834b-09fb-4e0e-9536-558132236fed/nm-119-michael-decon_tc.mp3?aid=rss_feed&feed=fzkTzFY_,2,NO_INFERRED_ROLE,NO_INFERRED_SPEAKER,
12.8023035259,5.129226,-6.6183030915,-11.5447577174,0.7831881481,648.1867659259, all,SPEAKER_01,41.3,41.84,0.54,https://chtbl.com/track/G42DE4/https://dts.podtrac.com/redirect.mp3/cdn.simplecast.com/audio/dbd31d/dbd31d40-e597-46ab-ae8c-305c440d194c/a00d834b-09fb-4e0e-9536-558132236fed/nm-119-michael-decon_tc.mp3?aid=rss_feed&feed=fzkTzFY_,3,NO_INFERRED_ROLE,NO_INFERRED_SPEAKER,
29.94376475,6.2825192513,2.623754155,-1.608636195,13.058074875,696.94849, this,"SPEAKER_01, SPEAKER_02",41.84,42.0,0.16,https://chtbl.com/track/G42DE4/https://dts.podtrac.com/redirect.mp3/cdn.simplecast.com/audio/dbd31d/dbd31d40-e597-46ab-ae8c-305c440d194c/a00d834b-09fb-4e0e-9536-558132236fed/nm-119-michael-decon_tc.mp3?aid=rss_feed&feed=fzkTzFY_,4,NO_INFERRED_ROLE,NO_INFERRED_SPEAKER,
20.2141127974,4.0263266333,1.2156019681,-2.6057347919,4.8203105409,728.451279444," really came from a dream. Yes,",SPEAKER_02,42.0,44.9,2.9,https://chtbl.com/track/G42DE4/https://dts.podtrac.com/redirect.mp3/cdn.simplecast.com/audio/dbd31d/dbd31d40-e597-46ab-ae8c-305c440d194c/a00d834b-09fb-4e0e-9536-558132236fed/nm-119-michael-decon_tc.mp3?aid=rss_feed&feed=fzkTzFY_,5,NO_INFERRED_ROLE,NO_INFERRED_SPEAKER,
9.0054488219,2.4473461563,4.3562888141,-7.7623297531,7.2723153125,636.6871990625, you,"SPEAKER_02, SPEAKER_03",44.9,45.55,0.65,https://chtbl.com/track/G42DE4/https://dts.podtrac.com/redirect.mp3/cdn.simplecast.com/audio/dbd31d/dbd31d40-e597-46ab-ae8c-305c440d194c/a00d834b-09fb-4e0e-9536-558132236fed/nm-119-michael-decon_tc.mp3?aid=rss_feed&feed=fzkTzFY_,6,NO_INFERRED_ROLE,NO_INFERRED_SPEAKER,
16.8851461304,2.8219692281,7.2454617585,-4.6850218543,2.7360531304,641.853913913, did,"SPEAKER_03, SPEAKER_02",45.55,46.0,0.45,https://chtbl.com/track/G42DE4/https://dts.podtrac.com/redirect.mp3/cdn.simplecast.com/audio/dbd31d/dbd31d40-e597-46ab-ae8c-305c440d194c/a00d834b-09fb-4e0e-9536-558132236fed/nm-119-michael-decon_tc.mp3?aid=rss_feed&feed=fzkTzFY_,7,NO_INFERRED_ROLE,NO_INFERRED_SPEAKER,
23.0223446473,4.1085397209,9.9966459228,1.5968929979,7.0105214617,770.0079163334,. Good,"SPEAKER_02, SPEAKER_03",46.0,49.51,3.51,https://chtbl.com/track/G42DE4/https://dts.podtrac.com/redirect.mp3/cdn.simplecast.com/audio/dbd31d/dbd31d40-e597-46ab-ae8c-305c440d194c/a00d834b-09fb-4e0e-9536-558132236fed/nm-119-michael-decon_tc.mp3?aid=rss_feed&feed=fzkTzFY_,8,NO_INFERRED_ROLE,NO_INFERRED_SPEAKER,
22.9011694095,9.1280866481,15.0784220562,7.738977681,11.0558328503,640.3737395368," evening and welcome to Noxmente. Tonight's guest is Michael Deacon. Michael has had a number of unusual unexplained events that have occurred in his life. A natural skeptic, he often finds himself at odds with his own experiences. Now the cryptic symbolism in his strange experiences has begun to slowly decode itself before his eyes. He's also the creator and host of the Michael Deacon program. Michael, welcome to the show.",SPEAKER_03,49.51,77.0,27.49,https://chtbl.com/track/G42DE4/https://dts.podtrac.com/redirect.mp3/cdn.simplecast.com/audio/dbd31d/dbd31d40-e597-46ab-ae8c-305c440d194c/a00d834b-09fb-4e0e-9536-558132236fed/nm-119-michael-decon_tc.mp3?aid=rss_feed&feed=fzkTzFY_,9,NO_INFERRED_ROLE,NO_INFERRED_SPEAKER,
31.7716096267,13.2280990509,10.3141184163,2.4092126614,7.9091449603,663.6184788718," Hello, how are you?",SPEAKER_02,77.0,78.0,1.0,https://chtbl.com/track/G42DE4/https://dts.podtrac.com/redirect.mp3/cdn.simplecast.com/audio/dbd31d/dbd31d40-e597-46ab-ae8c-305c440d194c/a00d834b-09fb-4e0e-9536-558132236fed/nm-119-michael-decon_tc.mp3?aid=rss_feed&feed=fzkTzFY_,10,NO_INFERRED_ROLE,NO_INFERRED_SPEAKER,
