mfcc1_sma3Mean,mfcc2_sma3Mean,mfcc3_sma3Mean,mfcc4_sma3Mean,F0semitoneFrom27_5Hz_sma3nzMean,F1frequency_sma3nzMean,turnText,speaker,startTime,endTime,duration,mp3url,turnCount,inferredSpeakerRole,inferredSpeakerName,predictedClassIndex,binaryAction,multiAction,multiActionLLM
21.663308953,8.2195577041,17.391944826,6.1355527473,13.6625174349,670.7674478889," I know this feels obvious, but we're witnessing the change in history. And it's not just the millions of protesters who are pouring into the street in support of Black Lives Matter, it's not just a generation defining pandemic. We're also witnessing a change in history with a capital H. We're having conversations nationally and locally about how we recognize history and whose stories get told. Just last week, the Alabama Archives released a statement admitting that for a century, it fed the lost cause narrative of the Civil War and failed to collect narratives from Black Alabamians. We've all seen Confederate monuments, and a few others, toppled around the country. We've heard debates about Gone With the Wind and Pancake Surups and popular TV shows, and it's all happening very quickly and it may feel like a lot to absorb, but Dr. Hillary In Green is the perfect voice to walk us through this moment. Welcome back to The Reckon Interview, I'm your host John Hammanry and today I am talking with Dr. Green about monuments, reconstruction, a legacy of menstrual culture and a lot more. Dr. Green is an associate professor of history at the University of Alabama and since 2015 she has hosted campus tours to contextualize many of the buildings on campus that are named for Confederates and Klansmen. Now earlier this month, the University of Alabama removed a Confederate monument, a boulder, from the center of campus. We discuss what this action meant and now what work still needs to be done. So let's make history on this week's episode",SPEAKER_01,0.0,86.51,86.51,https://pdst.fm/e/chrt.fm/track/D33B1E/traffic.megaphone.fm/ADLM9924637739.mp3?updated=1651350594,1,host,John Hammanry,,0,0.0,Call-to-Action
20.5137119338,11.2679036822,9.209499567,3.5756911142,6.514582015,646.3817206945," of The Reckon Interview. Okay, Dr. Hillary Green, thank you for coming",SPEAKER_06,86.51,94.95,8.44,https://pdst.fm/e/chrt.fm/track/D33B1E/traffic.megaphone.fm/ADLM9924637739.mp3?updated=1651350594,2,NO_INFERRED_ROLE,NO_INFERRED_SPEAKER,,1,,
25.7973424975,1.5320942939,20.4050477367,1.830255435,10.7258620135,567.1444327582, on The Reckon,SPEAKER_01,94.95,96.53,1.58,https://pdst.fm/e/chrt.fm/track/D33B1E/traffic.megaphone.fm/ADLM9924637739.mp3?updated=1651350594,3,host,John Hammanry,,1,,
26.105742809,-1.1821421972,23.4723924337,5.0179902142,11.2968411461,648.32376, Interview,"SPEAKER_01, SPEAKER_03",96.53,98.3,1.77,https://pdst.fm/e/chrt.fm/track/D33B1E/traffic.megaphone.fm/ADLM9924637739.mp3?updated=1651350594,4,NO_INFERRED_ROLE,NO_INFERRED_SPEAKER,,1,,
26.777712703,-3.9181769827,3.8622101984,-1.0175287972,19.2260837104,787.7352598388,. Thank you for having me,SPEAKER_03,98.3,99.58,1.28,https://pdst.fm/e/chrt.fm/track/D33B1E/traffic.megaphone.fm/ADLM9924637739.mp3?updated=1651350594,5,guest,Hillary Green,,1,,
27.7106744869,-2.762392856,23.8755436472,0.6116454738,15.523150189,612.4398787208,". This has to be an incredibly busy time for you. You are an expert in reconstruction, you're an expert in how Black Americans remember the Civil War, you're an expert in monuments and kind of this lost cause mythology and that seems to be a national and international conversation right now. We're seeing monuments be toppled all across the country and also in places like Liverpool, England. So I'm curious as to what your immediate reaction to all of this has",SPEAKER_01,99.58,128.79,29.21,https://pdst.fm/e/chrt.fm/track/D33B1E/traffic.megaphone.fm/ADLM9924637739.mp3?updated=1651350594,6,host,John Hammanry,,1,,
22.7399873667,-33.8619773992,14.14163828,-9.92925329,12.1791742333,876.2757896667, been,"SPEAKER_01, SPEAKER_03",128.79,129.38,0.59,https://pdst.fm/e/chrt.fm/track/D33B1E/traffic.megaphone.fm/ADLM9924637739.mp3?updated=1651350594,7,NO_INFERRED_ROLE,NO_INFERRED_SPEAKER,,1,,
27.7024252708,-5.5866305964,-6.1660414973,-13.8026712416,28.7147818145,780.7930017138,". My immediate reaction was, wow, it's interesting to be a part of this historical moment because if you think about it five years since Charleston, we started having these waves. And Charleston, we had that first wave. Charlottesville, we have a second, but there's something about this moment, 2020, and I think it's the pandemic and the effects of this, unfortunately, of people of color and class. I also think it's the political moment in many countries across the way and people not feeling their voices are being heard. And also, too, I think people now with questions of policing and different things and those power dynamics that were at the core of this monuments, when they first came up, people are now responding, like physically responded by pulling things down, they're going through their governments. And I think it's the combination of all of that that makes this unique. So I call this the George Floyd COVID-19 wave that it's everything from lost cause to anything about white supremacy, indigenous rights and colonialism, people are affected by this in different ways and are taken to the",SPEAKER_03,129.38,200.31,70.93,https://pdst.fm/e/chrt.fm/track/D33B1E/traffic.megaphone.fm/ADLM9924637739.mp3?updated=1651350594,8,guest,Hillary Green,,1,,
-4.4326310083,0.196387795,-14.678777975,2.4583977479,10.2775685833,910.0226541667, streets,"SPEAKER_03, SPEAKER_01",200.31,200.77,0.46,https://pdst.fm/e/chrt.fm/track/D33B1E/traffic.megaphone.fm/ADLM9924637739.mp3?updated=1651350594,9,NO_INFERRED_ROLE,NO_INFERRED_SPEAKER,,1,,
31.6045216447,-3.427665916,24.6698429727,2.605546346,20.8878780626,640.169304237,". Well, and you've been at the University of Alabama since 2014",SPEAKER_01,200.77,204.5,3.73,https://pdst.fm/e/chrt.fm/track/D33B1E/traffic.megaphone.fm/ADLM9924637739.mp3?updated=1651350594,10,host,John Hammanry,,1,,
