emotion,odds_ratio,lower_ci,upper_ci
remorse,0.9934681286048416,0.6959693053342315,1.2909669518754516
anger,0.9902790584303445,0.779083012896933,1.201475103963756
optimism,0.7907999702741249,0.6575802366608638,0.9240197038873859
pride,0.7784296938455797,-0.09061864300316658,1.647478030694326
embarrassment,0.7429158563706385,0.09506268494930548,1.3907690277919715
sadness,0.6929500076279584,0.47084638583414573,0.9150536294217712
fear,0.5482763153570607,0.19761120676451538,0.898941423949606
desire,0.5432699809630809,0.3904951454429214,0.6960448164832403
love,0.3047167775062127,0.21078600245189033,0.398647552560535
admiration,0.27969135297212,0.23654055541742242,0.3228421505268176
surprise,0.2715201554285589,0.1658875447009343,0.3771527661561835
curiosity,0.2396186669805069,0.20695058036062125,0.27228675360039256
amusement,0.10815699951630674,-0.010895634052990183,0.22720963308560366
gratitude,0.07293363049623117,0.02999708550592796,0.11587017548653437
joy,0.044533919378036434,-0.029693355769309628,0.1187611945253825
