emotion,odds_ratio,lower_ci,upper_ci
caring,3.1444269809303838,2.2594946430342944,4.029359318826473
desire,2.200545256273663,1.464440968121203,2.9366495444261234
optimism,2.130853212174203,1.594809490480738,2.6668969338676685
sadness,1.9585538595915872,1.2528180167909455,2.664289702392229
anger,1.740533581569863,0.8723587672356246,2.6087083959041015
grief,1.653260972361347,-3.342904359807075,6.649426304529769
annoyance,1.5099594938352967,1.068237614553022,1.9516813731175715
pride,1.3494541849355801,-1.502060660998841,4.200969030870001
disappointment,1.3408711120827592,0.8141526061784032,1.8675896179871152
realization,1.1882500826439157,0.8753178425090806,1.5011823227787509
relief,1.1499605487844757,-0.7752693433331288,3.0751904409020803
embarrassment,1.109391447012103,-1.2329886482332686,3.4517715422574744
disapproval,1.0875223238019969,0.7902343181389442,1.3848103294650496
approval,1.0651221156095458,0.918893992636983,1.2113502385821087
remorse,1.0532118706976454,-0.11038073155447803,2.216804472949769
fear,1.0528715209021033,0.0752728215109788,2.030470220293228
nervousness,1.0141514784643484,-1.126632004483042,3.1549349614117386
disgust,0.9758750806483968,-0.10198064377414384,2.0537308050709373
love,0.9009385182813885,0.4526025040633743,1.3492745324994027
gratitude,0.8870914564998941,0.5593898735515936,1.2147930394481945
joy,0.6916245523693219,0.28187029578001566,1.101378808958628
admiration,0.6367234473751975,0.4525001952434775,0.8209466995069175
excitement,0.5780527234168831,0.15771794948321416,0.998387497350552
confusion,0.38503490376006644,0.21043923143365117,0.5596305760864817
surprise,0.36074922709046153,-0.0832129975516166,0.8047114517325397
curiosity,0.3193279686036031,0.18779906241550925,0.4508568747916969
amusement,0.30252742901976953,-0.20247728907186707,0.8075321471114061
