emotion,odds_ratio,lower_ci,upper_ci
sadness,1.7876405431378004,1.533313820404055,2.0419672658715458
disappointment,1.7254976136576285,1.5003963953217387,1.9505988319935184
realization,1.6677220730596602,1.5223989789690289,1.8130451671502916
annoyance,1.6457261593799957,1.468538512267327,1.8229138064926644
fear,1.5158747398092487,1.1308197342505166,1.9009297453679808
grief,1.4066111584761287,0.2416399477915263,2.571582369160731
anger,1.3941956182666029,1.1104581217030647,1.677933114830141
embarrassment,1.374115070537842,0.7283528695917862,2.0198772714838977
disapproval,1.3157662887237243,1.1896253966922978,1.4419071807551507
desire,1.3123602686381943,1.0970231796705754,1.5276973576058133
optimism,1.2697839572416052,1.1121403970137131,1.4274275174694973
nervousness,1.1973673880521318,0.6231328991560163,1.7716018769482473
disgust,1.1607517295082932,0.7899275470825531,1.5315759119340333
pride,1.0797054406662607,0.4321885683999227,1.7272223129325988
caring,1.0791875211278172,0.8821073806132937,1.2762676616423407
relief,0.9980943796685269,0.48448697113344186,1.511701788203612
approval,0.9417251153894316,0.888604915642748,0.9948453151361152
remorse,0.8660751188743372,0.5256735339537149,1.2064767037949595
confusion,0.7104419081116226,0.6248372650811934,0.7960465511420517
admiration,0.5821565065600893,0.5161129809193411,0.6482000322008376
love,0.5591815307982532,0.4313239368048253,0.687039124791681
surprise,0.5432281815052116,0.3801921402141937,0.7062642227962295
curiosity,0.5161651913120585,0.45561038962013556,0.5767199930039815
joy,0.49662922493429235,0.3742360888664319,0.6190223610021528
amusement,0.4698197908866212,0.30657940747240964,0.6330601743008327
excitement,0.4688064552221514,0.34256825675101377,0.5950446536932891
gratitude,0.313525828270482,0.24082732530379414,0.3862243312371698
