emotion,odds_ratio,lower_ci,upper_ci
anger,10.946898714096584,10.523467164420008,11.370330263773159
disgust,9.229656627981973,8.87722039781792,9.582092858146025
fear,5.262851611327755,5.075177727488849,5.450525495166661
optimism,3.9764092723356868,3.819786072058278,4.133032472613095
surprise,2.9356904375038524,2.700754074123759,3.1706268008839458
love,2.5786463651460614,2.4625627748526875,2.6947299554394353
pride,2.407203937477516,2.3120823262526056,2.5023255487024265
disappointment,2.052338674751892,1.9601796562180587,2.144497693285725
excitement,1.2857394540601088,1.2264890133161714,1.3449898948040462
relief,0.8333758098719285,0.793321769699868,0.873429850043989
