emotion,odds_ratio,lower_ci,upper_ci
anger,13.001338087575146,11.337044148669285,14.665632026481006
optimism,11.568589584683425,9.452770953976259,13.68440821539059
disgust,8.245178020700441,7.288025537981575,9.202330503419308
fear,6.284034216615155,5.639870679296893,6.928197753933418
love,4.6481888163502925,4.122685886477289,5.173691746223296
surprise,3.5964665954185158,2.8223663456622567,4.370566845174775
pride,2.9073702441732885,2.580678983080473,3.234061505266104
disappointment,2.167179115201629,1.8813982329535452,2.452959997449713
excitement,2.045902972636313,1.7979739882697787,2.2938319570028476
relief,1.1566147026079603,1.0035383208428186,1.309691084373102
