emotion,odds_ratio,lower_ci,upper_ci
anger,6.430790790806984,5.900045380368087,6.961536201245882
optimism,5.902613610284712,5.274933226945495,6.530293993623929
disgust,5.677318750847749,5.210135916677617,6.144501585017881
fear,4.837680173766244,4.447012361665228,5.228347985867259
love,3.8405692948197876,3.4910134712139067,4.1901251184256685
surprise,3.444976941777547,2.8672651850671436,4.022688698487951
pride,3.0645423652556705,2.8027642237233508,3.32632050678799
excitement,1.797130501346739,1.623790024960872,1.9704709777326057
disappointment,1.601562675602236,1.4219800564760887,1.7811452947283835
relief,0.9471222109328685,0.8444721219784415,1.0497722998872956
