emotion,odds_ratio,lower_ci,upper_ci
anger,18.170362320774277,17.172320546797046,19.16840409475151
disgust,15.773372902639066,14.914514479881042,16.63223132539709
fear,6.079996932877862,5.824095721660833,6.33589814409489
surprise,3.331964635182655,3.029667474787757,3.634261795577553
optimism,3.146760108773252,3.003564946741232,3.2899552708052724
disappointment,2.5232633046596433,2.394601567962171,2.651925041357116
love,2.182642174202079,2.0587494764856324,2.3065348719185255
pride,1.8712250902198844,1.7764422939737248,1.966007886466044
excitement,1.0352833703370554,0.9730320268937822,1.0975347137803286
relief,0.7148213635889441,0.6706059300253479,0.7590367971525404
